sample_id,split,total_calories,total_protein,total_carb,total_fat,image_path
28,train,149.279999,12.0,1.152,10.08,data/processed/food-nutrients/images/000028.jpg
29,train,22.049999,1.512,4.41,0.252,data/processed/food-nutrients/images/000029.jpg
30,train,11.88,0.252,2.88,0.108,data/processed/food-nutrients/images/000030.jpg
31,train,25.969999,0.588,5.88,0.343,data/processed/food-nutrients/images/000031.jpg
32,train,146.069992,9.99,0.378,11.339999,data/processed/food-nutrients/images/000032.jpg
33,train,355.25,24.341999,14.700001,22.122999,data/processed/food-nutrients/images/000033.jpg
34,train,47.158001,0.608,11.172,0.076,data/processed/food-nutrients/images/000034.jpg
35,train,26.434999,2.125,0.204,1.785,data/processed/food-nutrients/images/000035.jpg
36,train,5.59,0.182,1.196,0.065,data/processed/food-nutrients/images/000036.jpg
37,val,6.93,0.147,1.68,0.063,data/processed/food-nutrients/images/000037.jpg
38,train,20.669998,0.468,4.68,0.273,data/processed/food-nutrients/images/000038.jpg
39,train,106.782997,3.53,18.932001,2.262,data/processed/food-nutrients/images/000039.jpg
40,train,29.880001,0.415,7.47,0.083,data/processed/food-nutrients/images/000040.jpg
41,test,24.139999,0.568,5.68,0.142,data/processed/food-nutrients/images/000041.jpg
42,test,129.839996,8.88,0.336,10.08,data/processed/food-nutrients/images/000042.jpg
43,train,183.860001,9.863,13.486,10.305,data/processed/food-nutrients/images/000043.jpg
44,train,20.400002,0.408,5.168,0.068,data/processed/food-nutrients/images/000044.jpg
45,train,80.665001,1.04,19.110001,0.13,data/processed/food-nutrients/images/000045.jpg
46,train,162.299988,11.1,0.42,12.599999,data/processed/food-nutrients/images/000046.jpg
47,train,263.36499,12.548,24.698,12.797999,data/processed/food-nutrients/images/000047.jpg
48,train,54.669998,1.42,12.07,0.071,data/processed/food-nutrients/images/000048.jpg
49,test,151.479996,10.360001,0.392,11.759999,data/processed/food-nutrients/images/000049.jpg
50,train,21.900002,0.438,5.548,0.073,data/processed/food-nutrients/images/000050.jpg
51,train,228.050003,12.218,18.01,11.903999,data/processed/food-nutrients/images/000051.jpg
52,test,20.74,0.488,4.88,0.122,data/processed/food-nutrients/images/000052.jpg
53,train,19.5,0.39,4.94,0.065,data/processed/food-nutrients/images/000053.jpg
54,val,23.76,0.33,5.94,0.066,data/processed/food-nutrients/images/000054.jpg
55,train,64.0,1.208,15.76,0.253,data/processed/food-nutrients/images/000055.jpg
56,train,38.880001,0.54,9.72,0.108,data/processed/food-nutrients/images/000056.jpg
57,train,88.549995,2.3,19.550001,0.115,data/processed/food-nutrients/images/000057.jpg
58,val,146.069992,9.99,0.378,11.339999,data/processed/food-nutrients/images/000058.jpg
59,val,273.5,12.83,29.648003,11.562999,data/processed/food-nutrients/images/000059.jpg
60,train,137.751007,1.776,32.633999,0.222,data/processed/food-nutrients/images/000060.jpg
61,train,119.019997,8.14,0.308,9.24,data/processed/food-nutrients/images/000061.jpg
62,train,22.780001,0.536,5.36,0.134,data/processed/food-nutrients/images/000062.jpg
63,test,279.550995,10.452001,38.301998,9.596,data/processed/food-nutrients/images/000063.jpg
64,train,67.759995,1.76,14.96,0.088,data/processed/food-nutrients/images/000064.jpg
65,test,38.52,0.535,9.63,0.107,data/processed/food-nutrients/images/000065.jpg
66,train,140.660004,9.62,0.364,10.92,data/processed/food-nutrients/images/000066.jpg
67,train,246.940002,11.915,24.954,11.115,data/processed/food-nutrients/images/000067.jpg
68,train,18.300001,0.366,4.636,0.061,data/processed/food-nutrients/images/000068.jpg
69,train,89.352005,1.152,21.167999,0.144,data/processed/food-nutrients/images/000069.jpg
70,train,81.149994,5.55,0.21,6.3,data/processed/food-nutrients/images/000070.jpg
71,train,17.640001,0.245,4.41,0.049,data/processed/food-nutrients/images/000071.jpg
72,train,206.442001,7.313,30.423998,6.553999,data/processed/food-nutrients/images/000072.jpg
73,train,136.51001,1.76,32.34,0.22,data/processed/food-nutrients/images/000073.jpg
74,train,31.620001,0.744,7.44,0.186,data/processed/food-nutrients/images/000074.jpg
75,train,56.98,1.48,12.58,0.074,data/processed/food-nutrients/images/000075.jpg
76,test,12.3,0.246,3.116,0.041,data/processed/food-nutrients/images/000076.jpg
77,train,237.410004,4.23,55.475998,0.521,data/processed/food-nutrients/images/000077.jpg
78,train,76.942001,0.992,18.228001,0.124,data/processed/food-nutrients/images/000078.jpg
79,train,140.660004,9.62,0.364,10.92,data/processed/food-nutrients/images/000079.jpg
80,train,31.280001,0.736,7.36,0.184,data/processed/food-nutrients/images/000080.jpg
81,test,248.882004,11.348,25.952,11.228,data/processed/food-nutrients/images/000081.jpg
82,train,140.660004,9.62,0.364,10.92,data/processed/food-nutrients/images/000082.jpg
83,train,213.897003,8.288,8.399,18.315001,data/processed/food-nutrients/images/000083.jpg
84,train,43.470001,0.441,11.34,0.126,data/processed/food-nutrients/images/000084.jpg
85,val,74.360001,20.02,0.429,0.286,data/processed/food-nutrients/images/000085.jpg
86,train,258.450012,14.475,3.15,20.475,data/processed/food-nutrients/images/000086.jpg
87,train,29.07,0.357,7.14,0.153,data/processed/food-nutrients/images/000087.jpg
88,train,29.07,0.357,7.14,0.153,data/processed/food-nutrients/images/000088.jpg
89,test,37.869999,2.59,0.098,2.94,data/processed/food-nutrients/images/000089.jpg
90,train,52.869999,4.25,0.408,3.57,data/processed/food-nutrients/images/000090.jpg
91,train,85.629005,1.104,20.285999,0.138,data/processed/food-nutrients/images/000091.jpg
92,train,205.438995,8.301001,27.931999,6.801,data/processed/food-nutrients/images/000092.jpg
93,test,37.259998,0.378,9.72,0.108,data/processed/food-nutrients/images/000093.jpg
94,train,179.210999,6.944,7.037,15.345,data/processed/food-nutrients/images/000094.jpg
95,test,30.6,0.72,7.2,0.18,data/processed/food-nutrients/images/000095.jpg
96,train,247.070999,8.042,23.957001,15.633,data/processed/food-nutrients/images/000096.jpg
97,train,7.84,0.616,1.484,0.112,data/processed/food-nutrients/images/000097.jpg
98,train,289.050018,11.200001,11.35,24.75,data/processed/food-nutrients/images/000098.jpg
99,train,296.890015,11.816001,12.834001,24.862,data/processed/food-nutrients/images/000099.jpg
100,train,74.360001,20.02,0.429,0.286,data/processed/food-nutrients/images/000100.jpg
101,train,57.27,0.581,14.940001,0.166,data/processed/food-nutrients/images/000101.jpg
102,train,30.6,0.72,7.2,0.18,data/processed/food-nutrients/images/000102.jpg
103,train,162.230011,21.320999,22.569,0.632,data/processed/food-nutrients/images/000103.jpg
104,train,258.450012,14.475,3.15,20.475,data/processed/food-nutrients/images/000104.jpg
105,test,151.479996,10.360001,0.392,11.759999,data/processed/food-nutrients/images/000105.jpg
106,train,104.057999,4.032,4.086,8.91,data/processed/food-nutrients/images/000106.jpg
107,train,26.91,0.273,7.02,0.078,data/processed/food-nutrients/images/000107.jpg
108,train,540.89801,29.140001,14.648001,41.223,data/processed/food-nutrients/images/000108.jpg
109,train,74.360001,20.02,0.429,0.286,data/processed/food-nutrients/images/000109.jpg
110,train,13.72,1.078,2.597,0.196,data/processed/food-nutrients/images/000110.jpg
111,train,115.620003,4.48,4.54,9.9,data/processed/food-nutrients/images/000111.jpg
112,train,203.699997,25.578001,7.566,10.382,data/processed/food-nutrients/images/000112.jpg
113,train,151.479996,10.360001,0.392,11.759999,data/processed/food-nutrients/images/000113.jpg
114,val,85.470001,2.22,18.870001,0.111,data/processed/food-nutrients/images/000114.jpg
115,train,74.879997,20.16,0.432,0.288,data/processed/food-nutrients/images/000115.jpg
116,train,173.430008,6.72,6.81,14.85,data/processed/food-nutrients/images/000116.jpg
117,train,485.26001,39.459999,26.504,27.008999,data/processed/food-nutrients/images/000117.jpg
118,val,64.860001,0.658,16.92,0.188,data/processed/food-nutrients/images/000118.jpg
119,train,434.196014,24.318001,5.292,34.397999,data/processed/food-nutrients/images/000119.jpg
120,train,85.470001,2.22,18.870001,0.111,data/processed/food-nutrients/images/000120.jpg
121,train,584.526001,27.196001,41.082001,34.696999,data/processed/food-nutrients/images/000121.jpg
122,train,151.479996,10.360001,0.392,11.759999,data/processed/food-nutrients/images/000122.jpg
123,train,42.779999,0.434,11.160001,0.124,data/processed/food-nutrients/images/000123.jpg
124,val,132.962997,5.152,5.221,11.385,data/processed/food-nutrients/images/000124.jpg
125,train,203.314011,11.387,2.478,16.107,data/processed/food-nutrients/images/000125.jpg
126,train,39.27,1.02,8.67,0.051,data/processed/food-nutrients/images/000126.jpg
127,train,569.807007,28.353001,27.921001,39.426998,data/processed/food-nutrients/images/000127.jpg
128,train,30.940001,0.728,7.28,0.182,data/processed/food-nutrients/images/000128.jpg
129,train,76.589996,0.777,19.980001,0.222,data/processed/food-nutrients/images/000129.jpg
130,train,313.585999,17.563,3.822,24.843,data/processed/food-nutrients/images/000130.jpg
131,train,433.575012,16.800001,17.025,37.125,data/processed/food-nutrients/images/000131.jpg
132,train,854.690979,35.868004,48.107002,62.372002,data/processed/food-nutrients/images/000132.jpg
133,train,7.0,0.55,1.325,0.1,data/processed/food-nutrients/images/000133.jpg
134,train,91.970001,6.29,0.238,7.14,data/processed/food-nutrients/images/000134.jpg
135,train,39.329998,0.399,10.26,0.114,data/processed/food-nutrients/images/000135.jpg
136,train,74.879997,20.16,0.432,0.288,data/processed/food-nutrients/images/000136.jpg
137,val,46.969997,1.22,10.37,0.061,data/processed/food-nutrients/images/000137.jpg
138,train,260.149994,28.618999,22.625002,7.703,data/processed/food-nutrients/images/000138.jpg
139,train,74.360001,20.02,0.429,0.286,data/processed/food-nutrients/images/000139.jpg
140,train,242.802002,9.408,9.534,20.790001,data/processed/food-nutrients/images/000140.jpg
141,train,57.27,0.581,14.940001,0.166,data/processed/food-nutrients/images/000141.jpg
142,train,148.178009,8.299,1.806,11.739,data/processed/food-nutrients/images/000142.jpg
143,train,522.609985,38.307999,26.709002,32.981003,data/processed/food-nutrients/images/000143.jpg
144,train,687.939026,26.656,27.013,58.904999,data/processed/food-nutrients/images/000144.jpg
145,val,251.558014,14.089001,3.066,19.929001,data/processed/food-nutrients/images/000145.jpg
146,train,73.839996,19.879999,0.426,0.284,data/processed/food-nutrients/images/000146.jpg
147,train,1013.337036,60.625,30.505001,79.117996,data/processed/food-nutrients/images/000147.jpg
148,train,389.39801,21.809,4.746,30.849001,data/processed/food-nutrients/images/000148.jpg
149,test,69.0,0.7,18.0,0.2,data/processed/food-nutrients/images/000149.jpg
150,train,13.6,0.32,3.2,0.08,data/processed/food-nutrients/images/000150.jpg
151,train,416.231995,16.128,16.344,35.639999,data/processed/food-nutrients/images/000151.jpg
152,train,888.22998,38.957001,42.290001,66.768997,data/processed/food-nutrients/images/000152.jpg
153,train,5.6,0.44,1.06,0.08,data/processed/food-nutrients/images/000153.jpg
154,train,306.694,17.177,3.738,24.297001,data/processed/food-nutrients/images/000154.jpg
155,val,73.839996,19.879999,0.426,0.284,data/processed/food-nutrients/images/000155.jpg
156,train,386.134003,37.497002,5.224,24.661001,data/processed/food-nutrients/images/000156.jpg
157,train,687.939026,26.656,27.013,58.904999,data/processed/food-nutrients/images/000157.jpg
158,train,45.540001,0.462,11.88,0.132,data/processed/food-nutrients/images/000158.jpg
159,val,317.032013,17.756001,3.864,25.116001,data/processed/food-nutrients/images/000159.jpg
160,val,1050.511108,44.874004,42.757,84.153,data/processed/food-nutrients/images/000160.jpg
161,test,300.612,11.648001,11.804,25.74,data/processed/food-nutrients/images/000161.jpg
162,val,372.167999,20.844,4.536,29.484001,data/processed/food-nutrients/images/000162.jpg
163,train,48.990002,0.497,12.780001,0.142,data/processed/food-nutrients/images/000163.jpg
164,train,13.26,0.312,3.12,0.078,data/processed/food-nutrients/images/000164.jpg
165,train,735.030029,33.301003,32.240002,55.444,data/processed/food-nutrients/images/000165.jpg
166,train,206.76001,11.58,2.52,16.380001,data/processed/food-nutrients/images/000166.jpg
167,test,74.360001,20.02,0.429,0.286,data/processed/food-nutrients/images/000167.jpg
168,train,4.2,0.33,0.795,0.06,data/processed/food-nutrients/images/000168.jpg
169,train,335.298004,12.992001,13.166,28.710001,data/processed/food-nutrients/images/000169.jpg
170,train,51.060001,0.518,13.320001,0.148,data/processed/food-nutrients/images/000170.jpg
171,train,671.67804,45.440006,30.23,45.584,data/processed/food-nutrients/images/000171.jpg
172,train,389.39801,21.809,4.746,30.849001,data/processed/food-nutrients/images/000172.jpg
173,train,92.459999,0.938,24.120001,0.268,data/processed/food-nutrients/images/000173.jpg
174,train,393.108002,15.232,15.436,33.66,data/processed/food-nutrients/images/000174.jpg
175,train,874.966003,37.979,44.301998,64.777,data/processed/food-nutrients/images/000175.jpg
176,train,36.57,0.371,9.54,0.106,data/processed/food-nutrients/images/000176.jpg
177,train,323.736023,12.544001,12.712,27.720001,data/processed/food-nutrients/images/000177.jpg
178,train,227.436005,12.738,2.772,18.018,data/processed/food-nutrients/images/000178.jpg
179,train,16.32,0.384,3.84,0.096,data/processed/food-nutrients/images/000179.jpg
180,train,604.062073,26.037001,28.863998,45.939999,data/processed/food-nutrients/images/000180.jpg
181,train,74.360001,20.02,0.429,0.286,data/processed/food-nutrients/images/000181.jpg
182,test,385.952026,21.616001,4.704,30.576,data/processed/food-nutrients/images/000182.jpg
183,val,687.939026,26.656,27.013,58.904999,data/processed/food-nutrients/images/000183.jpg
184,train,1148.250977,68.292,32.146,89.766998,data/processed/food-nutrients/images/000184.jpg
185,train,92.459999,0.938,24.120001,0.268,data/processed/food-nutrients/images/000185.jpg
186,train,208.115997,8.064,8.172,17.82,data/processed/food-nutrients/images/000186.jpg
187,train,74.360001,20.02,0.429,0.286,data/processed/food-nutrients/images/000187.jpg
188,val,374.936005,29.021999,32.721001,18.373999,data/processed/food-nutrients/images/000188.jpg
189,train,35.880001,0.364,9.360001,0.104,data/processed/food-nutrients/images/000189.jpg
190,val,277.488007,10.752001,10.896,23.76,data/processed/food-nutrients/images/000190.jpg
191,train,385.952026,21.616001,4.704,30.576,data/processed/food-nutrients/images/000191.jpg
192,train,699.320068,32.732002,24.960001,54.440002,data/processed/food-nutrients/images/000192.jpg
193,train,7.56,0.594,1.431,0.108,data/processed/food-nutrients/images/000193.jpg
194,train,115.620003,4.48,4.54,9.9,data/processed/food-nutrients/images/000194.jpg
195,train,36.57,0.371,9.54,0.106,data/processed/food-nutrients/images/000195.jpg
196,train,182.638,10.229,2.226,14.469,data/processed/food-nutrients/images/000196.jpg
197,train,342.388,15.674,17.737,24.582998,data/processed/food-nutrients/images/000197.jpg
198,train,17.85,1.224,3.57,0.204,data/processed/food-nutrients/images/000198.jpg
199,train,16.43,0.954,3.71,0.053,data/processed/food-nutrients/images/000199.jpg
200,train,78.199997,0.544,4.284,7.276,data/processed/food-nutrients/images/000200.jpg
201,train,22.1,0.455,4.42,0.455,data/processed/food-nutrients/images/000201.jpg
202,train,113.849998,21.389999,0.0,2.484,data/processed/food-nutrients/images/000202.jpg
203,train,94.400002,1.18,5.31,8.85,data/processed/food-nutrients/images/000203.jpg
204,train,13.8,1.74,2.16,0.24,data/processed/food-nutrients/images/000204.jpg
205,val,356.629974,27.487001,23.453999,19.562,data/processed/food-nutrients/images/000205.jpg
206,train,60.799999,0.8,14.400001,0.0,data/processed/food-nutrients/images/000206.jpg
207,train,23.800001,0.56,5.6,0.14,data/processed/food-nutrients/images/000207.jpg
208,train,16.0,1.152,3.2,0.192,data/processed/food-nutrients/images/000208.jpg
209,train,172.604996,13.875,1.332,11.655,data/processed/food-nutrients/images/000209.jpg
210,train,273.204987,16.386999,24.532001,11.987,data/processed/food-nutrients/images/000210.jpg
211,val,3.22,0.406,0.504,0.056,data/processed/food-nutrients/images/000211.jpg
212,train,53.130001,0.539,13.860001,0.154,data/processed/food-nutrients/images/000212.jpg
213,train,294.830994,11.424001,11.577,25.245001,data/processed/food-nutrients/images/000213.jpg
214,train,351.181,12.369,25.941,25.455,data/processed/food-nutrients/images/000214.jpg
215,train,41.599998,0.864,8.96,0.096,data/processed/food-nutrients/images/000215.jpg
216,train,74.360001,0.429,20.02,0.286,data/processed/food-nutrients/images/000216.jpg
217,train,115.620003,4.48,4.54,9.9,data/processed/food-nutrients/images/000217.jpg
218,train,10.98,0.549,2.379,0.122,data/processed/food-nutrients/images/000218.jpg
219,train,28.98,0.294,7.56,0.084,data/processed/food-nutrients/images/000219.jpg
220,train,271.540009,6.616,43.459003,10.487999,data/processed/food-nutrients/images/000220.jpg
221,train,102.699997,2.133,22.120001,0.237,data/processed/food-nutrients/images/000221.jpg
222,train,208.115997,8.064,8.172,17.82,data/processed/food-nutrients/images/000222.jpg
223,train,58.650002,0.595,15.3,0.17,data/processed/food-nutrients/images/000223.jpg
224,train,11.52,0.576,2.496,0.128,data/processed/food-nutrients/images/000224.jpg
225,train,2.07,0.261,0.324,0.036,data/processed/food-nutrients/images/000225.jpg
226,train,383.055969,11.629001,48.411999,18.390999,data/processed/food-nutrients/images/000226.jpg
227,test,73.839996,0.426,19.879999,0.284,data/processed/food-nutrients/images/000227.jpg
228,train,25.530001,0.259,6.66,0.074,data/processed/food-nutrients/images/000228.jpg
229,train,40.709999,0.413,10.620001,0.118,data/processed/food-nutrients/images/000229.jpg
230,train,10.08,0.504,2.184,0.112,data/processed/food-nutrients/images/000230.jpg
231,train,1.84,0.232,0.288,0.032,data/processed/food-nutrients/images/000231.jpg
232,train,151.999985,1.834,39.632,0.62,data/processed/food-nutrients/images/000232.jpg
233,train,1.15,0.145,0.18,0.02,data/processed/food-nutrients/images/000233.jpg
234,train,87.629997,0.889,22.860001,0.254,data/processed/food-nutrients/images/000234.jpg
235,train,231.240005,8.96,9.08,19.799999,data/processed/food-nutrients/images/000235.jpg
236,train,10.98,0.549,2.379,0.122,data/processed/food-nutrients/images/000236.jpg
237,train,331.0,10.543,34.499001,20.195999,data/processed/food-nutrients/images/000237.jpg
238,train,2.99,0.377,0.468,0.052,data/processed/food-nutrients/images/000238.jpg
239,train,25.530001,0.259,6.66,0.074,data/processed/food-nutrients/images/000239.jpg
240,train,22.099998,0.459,4.76,0.051,data/processed/food-nutrients/images/000240.jpg
241,train,12.960001,0.648,2.808,0.144,data/processed/food-nutrients/images/000241.jpg
242,train,63.579998,1.743,14.696001,0.321,data/processed/food-nutrients/images/000242.jpg
243,train,20.880001,1.044,4.524,0.232,data/processed/food-nutrients/images/000243.jpg
244,train,42.09,0.427,10.98,0.122,data/processed/food-nutrients/images/000244.jpg
245,train,369.984009,14.336,14.528,31.68,data/processed/food-nutrients/images/000245.jpg
246,train,432.95401,15.807,30.032001,32.034,data/processed/food-nutrients/images/000246.jpg
247,test,12.32,0.968,2.332,0.176,data/processed/food-nutrients/images/000247.jpg
248,train,75.200005,0.94,4.23,7.05,data/processed/food-nutrients/images/000248.jpg
249,train,28.0,1.92,5.6,0.32,data/processed/food-nutrients/images/000249.jpg
250,train,15.785,0.693,2.618,0.231,data/processed/food-nutrients/images/000250.jpg
251,val,6.97,0.306,1.156,0.102,data/processed/food-nutrients/images/000251.jpg
252,train,12.1,1.705,1.815,0.165,data/processed/food-nutrients/images/000252.jpg
253,train,169.949997,31.93,0.0,3.708,data/processed/food-nutrients/images/000253.jpg
254,train,320.325012,38.461998,17.750999,11.752,data/processed/food-nutrients/images/000254.jpg
255,train,160.164993,12.875,1.236,10.815,data/processed/food-nutrients/images/000255.jpg
256,train,38.189999,0.469,9.38,0.201,data/processed/food-nutrients/images/000256.jpg
257,train,141.440002,4.992,24.959999,2.912,data/processed/food-nutrients/images/000257.jpg
258,train,198.354996,13.344,10.616,11.016,data/processed/food-nutrients/images/000258.jpg
259,train,73.839996,0.426,19.879999,0.284,data/processed/food-nutrients/images/000259.jpg
260,train,2.53,0.319,0.396,0.044,data/processed/food-nutrients/images/000260.jpg
261,val,254.364014,9.856,9.988,21.780001,data/processed/food-nutrients/images/000261.jpg
262,train,330.734009,10.601,30.264,22.108002,data/processed/food-nutrients/images/000262.jpg
263,train,70.199997,1.458,15.12,0.162,data/processed/food-nutrients/images/000263.jpg
264,val,73.919998,1.92,16.32,0.096,data/processed/food-nutrients/images/000264.jpg
265,train,2.53,0.319,0.396,0.044,data/processed/food-nutrients/images/000265.jpg
266,train,144.525009,5.6,5.675,12.375,data/processed/food-nutrients/images/000266.jpg
267,train,291.174988,9.297001,37.510998,12.676999,data/processed/food-nutrients/images/000267.jpg
268,train,97.5,2.025,21.0,0.225,data/processed/food-nutrients/images/000268.jpg
269,train,2.3,0.29,0.36,0.04,data/processed/food-nutrients/images/000269.jpg
270,val,20.700001,1.035,4.485,0.23,data/processed/food-nutrients/images/000270.jpg
271,val,73.150002,1.9,16.15,0.095,data/processed/food-nutrients/images/000271.jpg
272,train,45.540001,0.462,11.88,0.132,data/processed/food-nutrients/images/000272.jpg
273,train,239.190002,5.712,53.875004,0.722,data/processed/food-nutrients/images/000273.jpg
274,train,682.15802,26.432001,26.785999,58.41,data/processed/food-nutrients/images/000274.jpg
275,test,97.5,2.025,21.0,0.225,data/processed/food-nutrients/images/000275.jpg
276,train,2.3,0.29,0.36,0.04,data/processed/food-nutrients/images/000276.jpg
277,test,781.958008,28.747002,48.146,58.674999,data/processed/food-nutrients/images/000277.jpg
278,train,73.839996,0.426,19.879999,0.284,data/processed/food-nutrients/images/000278.jpg
279,test,127.182007,4.928,4.994,10.89,data/processed/food-nutrients/images/000279.jpg
280,train,28.98,0.294,7.56,0.084,data/processed/food-nutrients/images/000280.jpg
281,train,230.001999,5.648,32.433998,11.258,data/processed/food-nutrients/images/000281.jpg
282,train,70.330002,4.81,0.182,5.46,data/processed/food-nutrients/images/000282.jpg
283,train,31.92,0.392,7.84,0.168,data/processed/food-nutrients/images/000283.jpg
284,train,129.064499,1.677,30.573,0.129,data/processed/food-nutrients/images/000284.jpg
285,train,231.314499,6.879,38.595001,5.757,data/processed/food-nutrients/images/000285.jpg
286,test,111.959999,9.0,0.864,7.56,data/processed/food-nutrients/images/000286.jpg
287,val,24.6,0.54,6.0,0.12,data/processed/food-nutrients/images/000287.jpg
288,train,9.044001,0.854,0.448,0.476,data/processed/food-nutrients/images/000288.jpg
289,train,26.400002,0.56,6.4,0.24,data/processed/food-nutrients/images/000289.jpg
290,test,172.004013,10.954,13.712,8.396,data/processed/food-nutrients/images/000290.jpg
291,train,21.76,0.448,4.352,0.448,data/processed/food-nutrients/images/000291.jpg
292,train,225.459,8.736,8.853,19.305,data/processed/food-nutrients/images/000292.jpg
293,train,16.0,1.152,3.2,0.192,data/processed/food-nutrients/images/000293.jpg
294,test,263.218994,10.336,16.404999,19.945,data/processed/food-nutrients/images/000294.jpg
295,val,22.5,1.62,4.5,0.27,data/processed/food-nutrients/images/000295.jpg
296,train,4.2,0.33,0.795,0.06,data/processed/food-nutrients/images/000296.jpg
297,train,73.839996,0.426,19.879999,0.284,data/processed/food-nutrients/images/000297.jpg
298,train,100.539993,2.376,25.174999,0.614,data/processed/food-nutrients/images/000298.jpg
299,train,156.087006,6.048,6.129,13.365,data/processed/food-nutrients/images/000299.jpg
300,train,73.839996,0.426,19.879999,0.284,data/processed/food-nutrients/images/000300.jpg
301,test,51.75,0.525,13.500001,0.15,data/processed/food-nutrients/images/000301.jpg
302,train,12.75,0.918,2.55,0.153,data/processed/food-nutrients/images/000302.jpg
303,train,294.427002,7.917001,42.058998,13.952,data/processed/food-nutrients/images/000303.jpg
304,train,73.839996,0.426,19.879999,0.284,data/processed/food-nutrients/images/000304.jpg
305,train,670.596008,25.984001,26.332001,57.420002,data/processed/food-nutrients/images/000305.jpg
306,train,7.106,0.671,0.352,0.374,data/processed/food-nutrients/images/000306.jpg
307,train,751.541992,27.081001,46.563999,58.078003,data/processed/food-nutrients/images/000307.jpg
308,train,86.25,0.875,22.5,0.25,data/processed/food-nutrients/images/000308.jpg
309,train,29.92,0.704,7.04,0.176,data/processed/food-nutrients/images/000309.jpg
310,train,73.839996,0.426,19.879999,0.284,data/processed/food-nutrients/images/000310.jpg
311,train,190.009995,2.005,49.419998,0.71,data/processed/food-nutrients/images/000311.jpg
312,train,22.25,1.602,4.45,0.267,data/processed/food-nutrients/images/000312.jpg
313,train,196.554001,7.616,7.718,16.83,data/processed/food-nutrients/images/000313.jpg
314,test,73.839996,0.426,19.879999,0.284,data/processed/food-nutrients/images/000314.jpg
315,train,292.643982,9.644,32.048,17.381001,data/processed/food-nutrients/images/000315.jpg
316,train,118.832001,3.472,24.639999,2.688,data/processed/food-nutrients/images/000316.jpg
317,train,16.02,0.801,3.471,0.178,data/processed/food-nutrients/images/000317.jpg
318,train,80.079994,0.462,21.559999,0.308,data/processed/food-nutrients/images/000318.jpg
319,train,214.931992,4.735,49.670998,3.174,data/processed/food-nutrients/images/000319.jpg
320,val,72.148003,2.108,14.96,1.632,data/processed/food-nutrients/images/000320.jpg
321,train,33.66,0.792,7.92,0.198,data/processed/food-nutrients/images/000321.jpg
322,train,16.796001,1.586,0.832,0.884,data/processed/food-nutrients/images/000322.jpg
323,test,122.604004,4.486,23.712,2.714,data/processed/food-nutrients/images/000323.jpg
324,train,526.070984,20.384001,20.657,45.045002,data/processed/food-nutrients/images/000324.jpg
325,val,118.832001,3.472,24.639999,2.688,data/processed/food-nutrients/images/000325.jpg
326,train,20.159,0.589,4.18,0.456,data/processed/food-nutrients/images/000326.jpg
327,train,80.599998,0.465,21.700001,0.31,data/processed/food-nutrients/images/000327.jpg
328,train,16.02,0.801,3.471,0.178,data/processed/food-nutrients/images/000328.jpg
